"TGS.2620","TGS.2611","TGS.822","TGS.832","TGS.2602","TGS.2600","TGS.826","TGS.825","Temp","Humid","nomor","nama","category"
2507.25,1393.5,962.625,3176.625,1592.25,2537.0625,1837.6875,3082.3125,38.35,48.58,"1","T2","L3"
2538.375,1380,964.125,3280.6875,1663.6875,2539.5,1872,3178.125,38.31,48.73,"2","T2","L3"
2537.25,1346.25,964.6875,3299.0625,1691.4375,2544.1875,1901.25,3183.375,38.31,48.63,"3","T2","L3"
2470.5,1308.9375,964.5,3199.5,1569.5625,2476.125,1766.625,3093.75,38.32,48.65,"4","T2","L3"
2404.3125,1237.5,965.625,3010.125,1379.0625,2425.6875,1704.375,2938.875,38.3,48.65,"5","T2","L3"
2613.5625,1463.625,817.6875,3507,1775.4375,2582.25,1848.5625,3326.8125,37.81,46.62,"1","T3","L1"
2536.6875,1415.0625,820.6875,3396.1875,1660.6875,2509.3125,1754.625,3213.375,37.91,46.41,"2","T3","L1"
2558.0625,1437.9375,828.9375,3422.8125,1670.25,2531.625,1727.8125,3242.8125,38.15,47.4,"3","T3","L1"
2567.8125,1437.9375,830.8125,3431.0625,1695,2541.75,1803.375,3251.0625,38.25,46.79,"4","T3","L1"
2567.4375,1429.3125,813.5625,3447.375,1729.3125,2535.375,1789.6875,3266.25,37.65,46.01,"5","T3","L1"
2348.0625,1283.625,829.6875,3111.5625,1404.75,2342.4375,1648.6875,2892.375,37.77,45.12,"1","T3","L2"
2342.4375,1266.5625,817.5,3118.875,1425,2328.75,1644.75,2899.5,37.16,44.76,"2","T3","L2"
2520,1374.9375,793.875,3390.5625,1704,2489.4375,1727.625,3207.9375,36.77,45.62,"3","T3","L2"
2437.3125,1319.4375,802.3125,3254.8125,1582.875,2418,1658.0625,3066.375,37.18,45.27,"4","T3","L2"
2518.5,1380.5625,808.5,3375.5625,1679.25,2493.9375,1745.8125,3190.125,37.46,45.74,"5","T3","L2"
2689.6875,1547.4375,841.125,3637.875,1839.9375,2656.125,1856.4375,3426,38.55,46.89,"1","T3","L3"
2706.1875,1562.4375,842.8125,3643.125,1845.9375,2673.75,1895.625,3442.6875,38.59,47.12,"2","T3","L3"
2733.375,1593.5625,848.8125,3659.625,1836.5625,2703.9375,1871.4375,3472.125,38.59,48.49,"3","T3","L3"
2784.5625,1632.75,850.3125,3715.125,1908.1875,2751.1875,1970.8125,3537.5625,38.59,48.4,"4","T3","L3"
2530.6875,1436.8125,844.3125,3405.375,1593.5625,2516.8125,1857,3173.4375,38.57,47.77,"5","T3","L3"
2388.5625,1321.125,786.5625,3233.625,1411.875,2360.0625,1266.375,3027.9375,34.83,45.36,"1","T4","L1"
2374.6875,1315.3125,788.0625,3197.8125,1351.3125,2349,1230.75,2992.3125,34.89,46.33,"2","T4","L1"
